,pv_pwr,wind_pwr,wind_offshore_pwr
2010-01-01 00:00:00+01:00,0,0.1982377439,0.7103917942
2010-01-01 01:00:00+01:00,0,0.1949111019,0.6877903285
2010-01-01 02:00:00+01:00,0,0.1895752489,0.6298817177
2010-01-01 03:00:00+01:00,0,0.188005753,0.596848842
2010-01-01 04:00:00+01:00,0,0.2040879892,0.5895819727
2010-01-01 05:00:00+01:00,0,0.2311248891,0.6403770075
2010-01-01 06:00:00+01:00,0,0.2335947042,0.7623645274
2010-01-01 07:00:00+01:00,0,0.2474030842,0.7583059935
2010-01-01 08:00:00+01:00,0,0.2688292272,0.6938440237
2010-01-01 09:00:00+01:00,0.0445144254,0.305428313,0.5670038621
2010-01-01 10:00:00+01:00,0.0971938293,0.3430644939,0.429837238
2010-01-01 11:00:00+01:00,0.1299299995,0.3516260113,0.3311805659
2010-01-01 12:00:00+01:00,0.1378106571,0.3140965421,0.2757913636
2010-01-01 13:00:00+01:00,0.1152822043,0.2728149612,0.2417030657
2010-01-01 14:00:00+01:00,0.0669695564,0.232416082,0.2271996882
2010-01-01 15:00:00+01:00,0.013304474,0.1901408332,0.2116233733
2010-01-01 16:00:00+01:00,0,0.1630224883,0.1710227845
2010-01-01 17:00:00+01:00,0,0.1435084889,0.1293156729
2010-01-01 18:00:00+01:00,0,0.1253154729,0.1033152055
2010-01-01 19:00:00+01:00,0,0.1056642443,0.0896832234
2010-01-01 20:00:00+01:00,0,0.0991569945,0.0782196806
2010-01-01 21:00:00+01:00,0,0.0986865244,0.0827031469
2010-01-01 22:00:00+01:00,0,0.097115935,0.0929550496
2010-01-01 23:00:00+01:00,0,0.0993612844,0.0794433637
2010-01-02 00:00:00+01:00,0,0.1023809242,0.0766621802
2010-01-02 01:00:00+01:00,0,0.0962005457,0.0686530556
2010-01-02 02:00:00+01:00,0,0.0947448903,0.0528583647
2010-01-02 03:00:00+01:00,0,0.1011836952,0.0426382304
2010-01-02 04:00:00+01:00,0,0.1129649926,0.048800501
2010-01-02 05:00:00+01:00,0,0.1132605306,0.0825103544
2010-01-02 06:00:00+01:00,0,0.0981890476,0.1476560816
2010-01-02 07:00:00+01:00,0,0.0812255076,0.2321875645
2010-01-02 08:00:00+01:00,0,0.0661024782,0.2604595864
